id,brand_name,model,screen_size,price,release_year,operating_system,battery_capacity,ram,storage,camera_mp,front_camera_mp,refresh_rate,weight,thickness,body_material,chipset,gpu,dual_sim,network_support,bluetooth_version,wifi_version,usb_type,fast_charging,fingerprint_sensor
15003,adsfa,dafsd,12,2121,1231,sdfasdfa,32,0,0,0,0,0,0,0,,,,,,,,,0,
15002,apple,i23,23,12000,2026,,0,0,0,0,0,0,0,0,,,,,,,,,0,
15001,samsung,v23,12,12000,2026,apple,0,0,0,0,0,0,0,0,,,,,,,,,0,
15000,Realme,Narzo 50,6,6133,2025,Android,3366,4,64,12,8,144,218,7.5,Glass,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.0,WiFi 6,Type-C,120,No
14999,OnePlus,OnePlus 11,6.92,44093,2024,Android,4489,8,128,108,8,90,208,8.5,Metal,Dimensity 9000,Mali-G710,No,5G,5.1,WiFi 6E,Type-C,18,Yes
14998,Realme,Narzo 50,5.58,8190,2017,Android,3638,8,128,48,16,60,164,6.7,Metal,Apple A16,Apple GPU,Yes,5G,5.0,WiFi 6,Type-C,120,No
14997,Realme,Realme 11 Pro,5.34,36104,2017,Android,5339,6,64,108,8,144,205,9.4,Glass,Apple A16,Mali-G710,No,4G,5.2,WiFi 6E,Type-C,120,Yes
14996,Samsung,Galaxy Note 20,5.45,79237,2024,Android,3104,12,64,48,16,144,192,8.2,Glass,Dimensity 9000,Apple GPU,No,5G,5.0,WiFi 6E,Type-C,67,Yes
14995,OnePlus,OnePlus 11,5.63,14260,2023,Android,3033,8,256,64,16,120,154,6.9,Plastic,Snapdragon 8 Gen 2,Mali-G710,Yes,5G,5.2,WiFi 6E,Type-C,120,Yes
14994,Realme,Realme 11 Pro,6,25596,2015,Android,4626,6,256,64,8,90,239,8.6,Metal,Apple A16,Adreno 740,No,5G,5.0,WiFi 6E,Type-C,120,No
14993,Nokia,Nokia G21,6.41,59484,2024,Android,5536,4,512,64,32,90,159,9,Glass,Dimensity 9000,Apple GPU,No,4G,5.2,WiFi 5,Type-C,67,Yes
14992,Xiaomi,Redmi Note 13,5.37,28249,2024,Android,5148,6,256,12,32,90,223,9,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.0,WiFi 6,Type-C,67,No
